statement_id,variant_type,top1,top2,top3,gap12,gap13,gap23,mean,std,min,max,range,cv,rank_baseline,found_baseline,recall@1_baseline,recall@5_baseline,mrr_baseline,best_k,rule_k,confidence,RCS_baseline,CRCS,selected_k,RCS_adaptive,rank_adaptive,found_adaptive,recall@1_adaptive,recall@5_adaptive,recall@10,mrr_adaptive
286,biomarker_synonym,0.8400516510009766,0.8375575542449951,0.8354158401489258,0.0024940967559814453,0.004635810852050781,0.002141714096069336,0.8316269814968109,0.00464103487395307,0.8265630602836609,0.8400516510009766,0.013488590717315674,0.005580668950398728,1.0,True,1.0,1.0,1.0,1,10,1,0.9796614980552529,0.9181818181818182,3,0.9181818181818182,1.0,True,1,1,1,1.0
286,biomarker_order,0.8400516510009766,0.8375575542449951,0.8354158401489258,0.0024940967559814453,0.004635810852050781,0.002141714096069336,0.8316269814968109,0.00464103487395307,0.8265630602836609,0.8400516510009766,0.013488590717315674,0.005580668950398728,1.0,True,1.0,1.0,1.0,1,10,1,0.9796614980552529,0.9181818181818182,3,0.9181818181818182,1.0,True,1,1,1,1.0
286,wording,0.8405609130859375,0.8391942977905273,0.8384696841239929,0.0013666152954101562,0.00209122896194458,0.0007246136665344238,0.8332924783229828,0.004369940409668756,0.8285192847251892,0.8405609130859375,0.012041628360748291,0.0052441855931105305,1.0,True,1.0,1.0,1.0,1,10,1,0.6937046774914077,0.7499074845541033,5,0.7499074845541033,1.0,True,1,1,1,1.0
287,original,0.8451477289199829,0.8396739959716797,0.8372293710708618,0.005473732948303223,0.007918357849121094,0.002444624900817871,0.8343332409858704,0.005136884447847128,0.828994870185852,0.8451477289199829,0.01615285873413086,0.006156873771177148,1.0,True,1.0,1.0,1.0,1,5,1,0.38395468258454646,0.5215582908144707,10,0.5215582908144707,1.0,True,1,1,1,1.0
287,biomarker_synonym,0.8451477289199829,0.8396739959716797,0.8372293710708618,0.005473732948303223,0.007918357849121094,0.002444624900817871,0.8343332409858704,0.005136884447847128,0.828994870185852,0.8451477289199829,0.01615285873413086,0.006156873771177148,1.0,True,1.0,1.0,1.0,1,5,1,0.38395468258454646,0.5215582908144707,10,0.5215582908144707,1.0,True,1,1,1,1.0
287,biomarker_order,0.8451477289199829,0.8396739959716797,0.8372293710708618,0.005473732948303223,0.007918357849121094,0.002444624900817871,0.8343332409858704,0.005136884447847128,0.828994870185852,0.8451477289199829,0.01615285873413086,0.006156873771177148,1.0,True,1.0,1.0,1.0,1,5,1,0.38395468258454646,0.5215582908144707,10,0.5215582908144707,1.0,True,1,1,1,1.0
287,wording,0.8448426723480225,0.8391907811164856,0.8390770554542542,0.005651891231536865,0.0057656168937683105,0.00011372566223144531,0.8352578163146973,0.004776440402823331,0.8288832902908325,0.8448426723480225,0.01595938205718994,0.005718522244901361,1.0,True,1.0,1.0,1.0,1,5,1,0.4413233602799789,0.5258173857567954,10,0.5258173857567954,1.0,True,1,1,1,1.0
288,original,0.8383714556694031,0.8343820571899414,0.8338918089866638,0.00398939847946167,0.004479646682739258,0.0004902482032775879,0.8298375010490417,0.0044936654823437994,0.8247371912002563,0.8383714556694031,0.013634264469146729,0.005415114979334047,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.8128391428308653,3,0.8128391428308653,1.0,True,1,1,1,1.0
288,biomarker_synonym,0.8383714556694031,0.8343820571899414,0.8338918089866638,0.00398939847946167,0.004479646682739258,0.0004902482032775879,0.8298375010490417,0.0044936654823437994,0.8247371912002563,0.8383714556694031,0.013634264469146729,0.005415114979334047,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.8128391428308653,3,0.8128391428308653,1.0,True,1,1,1,1.0
288,biomarker_order,0.8383714556694031,0.8343820571899414,0.8338918089866638,0.00398939847946167,0.004479646682739258,0.0004902482032775879,0.8298375010490417,0.0044936654823437994,0.8247371912002563,0.8383714556694031,0.013634264469146729,0.005415114979334047,1.0,True,1.0,1.0,1.0,1,10,1,1.0,0.8128391428308653,3,0.8128391428308653,1.0,True,1,1,1,1.0
